SOLUTIANCE AG;DE0006926504;692650;ZSOL;DEUTSCHLAND
SCHERZER U. CO. AG O.N.;DE0006942808;694280;PZS;DEUTSCHLAND
PRO DV AG O.N.;DE0006967805;696780;PDA;DEUTSCHLAND
PROGRESS-WERK OBERK. O.N.;DE0006968001;696800;PWO;DEUTSCHLAND
PUMA SE;DE0006969603;696960;PUM;MDAX
PUBLITY AG NA O.N.;DE0006972508;697250;PBY;DEUTSCHLAND
REALTECH AG O.N.;DE0007008906;700890;RTC;DEUTSCHLAND
RATIONAL AG;DE0007010803;701080;RAA;MDAX
RHEINMETALL AG;DE0007030009;703000;RHM;MDAX
RWE AG ST O.N.;DE0007037129;703712;RWE;DAX
RHOEN-KLINIKUM O.N.;DE0007042301;704230;RHK;SDAX
KWS SAAT KGAA  INH O.N.;DE0007074007;707400;KWS;SDAX
DAIMLER AG NA O.N.;DE0007100000;710000;DAI;DAX
SAP SE O.N.;DE0007164600;716460;SAP;DAX
SARTORIUS AG O.N.;DE0007165607;716560;SRT;MDAX
SARTORIUS AG VZO O.N.;DE0007165631;716563;SRT3;MDAX
KOENIG + BAUER AG ST O.N.;DE0007193500;719350;SKB;SDAX
FIRST SENSOR AG O.N.;DE0007201907;720190;SIS;DEUTSCHLAND
SNP SCHNEID.-NEUREIT.O.N.;DE0007203705;720370;SHF;DEUTSCHLAND
SCHLOSS WACHENHEIM AG O.N;DE0007229007;722900;SWA;DEUTSCHLAND
SIXT SE ST O.N.;DE0007231326;723132;SIX2;SDAX
SIXT SE VZO O.N.;DE0007231334;723133;SIX3;SDAX
SGL CARBON SE O.N.;DE0007235301;723530;SGL;SDAX
SIEMENS AG  NA O.N.;DE0007236101;723610;SIE;DAX
CECONOMY AG  ST O.N.;DE0007257503;725750;CEC;SDAX
CECONOMY AG  VZO O.N.;DE0007257537;725753;CEC1;SDAX
STO SE+CO.KGAA VZO O.N.;DE0007274136;727413;STO3;DEUTSCHLAND
SECUNET SECURITY AG O.N.;DE0007276503;727650;YSN;DEUTSCHLAND
SPL.MEDIEN AG O.N.;DE0007279507;727950;SPM;DEUTSCHLAND
SUEDZUCKER AG  O.N.;DE0007297004;729700;SZU;SDAX
HEIDELBERG.DRUCKMA.O.N.;DE0007314007;731400;HDD;SDAX
TAKKT AG O.N.;DE0007446007;744600;TTK;SDAX
IVU TRAFFIC TECHN.AG O.N.;DE0007448508;744850;IVU;DEUTSCHLAND
TELES AG INFORM.TECHN.;DE0007454902;745490;TLI;DEUTSCHLAND
PVA TEPLA AG O.N.;DE0007461006;746100;TPE;DEUTSCHLAND
WIRECARD AG;DE0007472060;747206;WDI;DAX
DEUTSCHE EUROSHOP NA O.N.;DE0007480204;748020;DEQ;SDAX
STROEER SE + CO. KGAA;DE0007493991;749399;SAX;SDAX
THYSSENKRUPP AG O.N.;DE0007500001;750000;TKA;MDAX
TTL BET.GRDBES.AG INH ON;DE0007501009;750100;TTO;DEUTSCHLAND
WASHTEC AG O.N.;DE0007507501;750750;WSU;SDAX
UZIN UTZ AG O.N.;DE0007551509;755150;UZU;DEUTSCHLAND
SFC ENERGY AG;DE0007568578;756857;F3C;DEUTSCHLAND
GK SOFTWARE  INH O.N.;DE0007571424;757142;GKS;DEUTSCHLAND
GOING PUBLIC MEDIA NA ON;DE0007612103;761210;G6P;DEUTSCHLAND
VILLEROY + BOCH AG VZ;DE0007657231;765723;VIB3;DEUTSCHLAND
VOLKSWAGEN AG ST O.N.;DE0007664005;766400;VOW;DAX
VOLKSWAGEN AG VZO O.N.;DE0007664039;766403;VOW3;DAX
VOSSLOH AG O.N.;DE0007667107;766710;VOS;DEUTSCHLAND
WESTAG + GETALIT ST O.N.;DE0007775207;777520;WUG;DEUTSCHLAND
WESTAG + GETALIT VZO O.N.;DE0007775231;777523;WUG3;DEUTSCHLAND
DALDRUP+SOEHNE AG;DE0007830572;783057;4DS;DEUTSCHLAND
